Product Code,Product Name
104127,FAN RUBBER BUSH 
104128,TESTER
104129,"MS BOX PIPE, 16GAUGE"
104130,AIR NIPPLE 
104142,IRON COIL (FLAT)
104160,PEST KILLER MACHINE
104161,HEAT PROOF RUBBER MAT
104162,HALOZEN BALLEST 400W
104164,MELAMINE BOARD
104165,DRAWER LOCK
104166,Gas
104175,"TUBE LIGHT, D65,2'"
104176,FEED ROCKER LINK ASM
104186,THREAD TAPE
104219,SHIP BOARD
104230,SPRIDER
104232,CLATCH FEED SUPPORT PLATE
104233,SHATTLE ASM
104234,X FEED GEAR
104235,CLATCH FEED ARM
104236,FEED DRIVING ARM
104237,FEED CONNECTING LINK PIN
104238,SCREW
104239,FEED ROCKER SHAFT
104240,FEED ROCKER
104241,LOOPER AVOIDING ECCENTIC CAMP
104242,SLID BLOCK
104243,LOOPER AVOIDING SHAFT
104244,LOOPER AVOIDING SHAFT ASM
104245,SLID BLOCK B
104246,RUBBER RING
104247,FEED BAR ECCENTIC HING PIN
104248,FEED ROCKER SLIDE BLOCK
104249,FEED ROCKER SLID BLOCK PIN
104250,FEED ROCKER ECCENTIC
104251,LOOPER AVOIDING LEVER
104252,FEED LIFTING CONNECTING
104253,FEED ECCENTIC SLID BLOCK
104254,FEED BAR
104255,FEED ECCENTIC GUIDE
104256,FEED CAM VERTICAL
104339,"VACUUM CLEANER, CV-W1600"
104375,HANDLE FOR CABINET
104377,ROTARY COMPRESSOR
104378,CONSONANT CABINET HINGS
104379,BLIZING ROD
104380,SUN CANE
104431,PARTEX BOARD
104432,MDF BOARD
104435,"MOUTH COVER, BUTTON STITCH M/C"
104440,NEEDLE DISTROYER
104441,DUPPLER FETAL MACHINE 
104453,HIGH SPEED DRILL BIT
104465,"IRON THERMOSTAR, SENSOR TYPE"
104482,LOOPER ROCKER ASM
104500,COMPRESSOR CONNECTING CABLE
104514,MS ELBOW
104516,WELDING GLASS
104557,"PVC BOARD, 4*8'"
104558,BATTERY FOR HAND MIKE
104559,ELECTRICAL KATLI
104569,GORGON BINIER 6'*2''
104570,3 PIN SOCKET (ROUND)
104571,WALL MOUNTED FAN PLATE
104572,EXHAUST FAN PLATE PVC 
104573,EXHAUST FAN PLATE SS
104574,RELAY
104576,SS RING 
104577,ROLLER SET (M)
104579,NEEDLE BAR CRANK PIN ASM
104580,NEEDLE BAR CRANK ROD
104581,FEED CONNECTING LINK
104754,"COIL, HEAT SEAL M/C"
104785,HAC SAW FRAME
104786,FILE RAT
104796,TABLE FAN
104797,FOG LIGHT
104798,STEAM TRAFF FOR IRON 
104799,HEAT & STEAM IRON
104800,IRON FRONT COVER
104801,"FEED DOG 1.5L, VERTICAL M/C"
104806,CUTOUT SWITCH
104808,MICRO SWITCH
104809,"LIMIT SWITCH (AIR), JAPAN"
104810,FACE SEPARETOR RELAY
104811,CLINGER GAUGE GLASS
104812,GASKET
104814,DIGITAL LUX METER
104820,BIB COCK SS
104821,MAGIC PIPE
104858,KNEE LIFTER CLAM HOLDER
104859,NEEDLE PLATE
104860,SIDE PLATE
104861,PRESSURE FOOT BAR
104862,NEEDLE PLATE 2.5L
104863,FEED DOG (HEAVY)
104864,FEED DOG (PLASTIC)
104865,ROLLER BEARING
104866,NEEDLE BAR BUSH
104867,NEEDLE BAR
104868,OIL PUMP
104869,MOVING KNIFE 
104870,MOTOR PULLEY 
104871,FIXED KNIFE
104873,VERTICAL KNIFE
104874,THREAD GUIDE
104875,FINGER GUIDE ( HOOK)
104876,STITCH REGULATOR
104877,LIFTER CAP
104879,BOBBIN WINDER
104880,HEAD REST  PIN
104881,THREAD BATY
104882,THREAD BATY STICK
104883,CYCONIZER
104884,RUBBER MAT/PA DANY
104885,MOTOR SPRING
104886,OIL SEAL
104888,BACK STITCH LIVER
104889,PRESSURE REGULATER
104890,TACK UP SPRING
104891,NEEDLE SCREW
104892,PRESSURE FOOT SCREW
104893,THREAD CUTTING KNIFE
104894,JUTE DRAIN
104895,PADDLE MAT ROD
104896,OIL SCREW
104897,BOBBIN WINDER PATI
104898,BOBBIN CASE SCREW
104899,LIGHT FEED DOG
104900,BINDING FOLDER
104901,PIKER AUTO 
104902,KNEE LIFTER SPRING
104903,BOBBIN CASE PATI 
104904,RUBBER PULLEY COVER
104905,WIPER
104906,KNEE LIFTER RUBBER
104907,NEEDLE PLATE SCREW
104908,FACE COVER GASKET
104909,FEED DOG 2.5L
104910,TENSION POST 
104911,NEEDLE BAR THREAD GUD 
104912,COUNTER KNIFE 
104913,LIFTER HAND 
104915,BOBBIN CASE SPRING
104916,LOWER THREAD FINGER
104917,FEED DOG 
104920,NEEDLE GURD
104921,THREAD CAM
104922,CLATCH PLATE 
104923,BOBBIN CASE PATI
104924,SUPER TENTION POST
104925,KNIFE DRIVING BLOCK 
104927,CHAIN LOOPER 
104928,PRESSURE FOOT
104929,GUIDE
104930,PLAIN FEET 
104931,BOBBIN CASE PATI SCREW
104932,LOOPER
104934,HOOK GURD
104935,NEEDLE CLAM
104936,PRESSURE FEED DOG BAR
104938,NEEDLE BAR CRANK (Z)
104939,NEEDLE BAR CRANK ROD (Z)
104940,NEEDLE BEARING (Z)
104941,NEEDLE PLATE (AUTO)
104942,NEEDLE PLATE (MANUAL)
104943,UPPER SCISSORS (AUTO)
104944,UPPER SCISSORS (MANUAL)
104945,SHIFTER DRIVING PIN
104946,OIL BELT
104947,TIMING BELT
104948,BOBBIN CASE (MANUAL)
104949,BOBBIN CASE (AUTO)
104950,LOWER SCISSORS
104951,LEATHER BELT
104952,KNIFE HOLDER
104953,NEEDLE BAR BREACKET
104956,OPENING CAM (AUTO)
104957,CLUTCH CLAW
104958,TENSION RELEASE SOLENOID
104960,COSHION SPRING
104961,KNIFE PATI
104962,LOWER SCISSOR PATI SET
104963,HOOK GURD/FINGER
104964,SPRING HOLDER
104965,WORK CLAMP FOOT
104966,TENSION RELEASE LINK
104968,OPENING CAM (MANUAL)
104969,OPTICAL SENSOR
104970,STOP SWITCH
104971,LOWER THREAD RELASER
104972,UPPER SCISSOR'S PATI
104974,LOWER THREAD CLAMP PLATE ASM
104975,TENSION RELASER RUBBER
104976,SPRING
104978,LOWER THREAD PRESSURE
104980,NEEDLE BAR CON. ROD ASM
104982,BUTTON STITCH CLAM
104983,MOVABLE KNIFE
104984,CUTTER DRIVING ARM ASM
104985,FEED PLATE
